SpikeID,Stimulus_number,Latency (ms),Timestamp(ms)
0,84,313.49999999997635,1284947.5999999999
0,87,313.666666666677,1296950.9333333333
0,88,314.0333333333274,1300951.9666666668
0,89,314.16666666677884,1304952.7333333334
0,90,314.36666666672863,1308953.566666667
0,91,314.3999999999778,1312954.2666666666
0,92,314.5999999999276,1316955.0999999999
0,93,314.53333333342925,1320955.6666666667
0,94,314.73333333337905,1324956.5333333332
0,95,314.8000000001048,1328957.2333333336
0,96,314.73333333337905,1332957.7999999998
0,97,314.83333333335395,1336959.8
0,98,314.6999999999025,1340961.5666666667
0,99,314.93333333332885,1344963.7
0,100,314.63333333340415,1348965.3
0,101,314.7666666666282,1352967.3
0,102,314.6999999999025,1356969.1333333333
0,103,314.83333333335395,1360971.1666666667
0,104,315.13333333327864,1364973.3666666667
0,105,315.1666666667552,1368975.3
0,106,315.10000000002947,1372977.1333333335
0,107,315.03333333330374,1376978.9333333333
0,108,315.2666666667301,1380981.0666666667
0,109,315.1666666667552,1384982.8666666667
0,110,315.23333333325354,1388984.8333333335
0,112,315.20000000000437,1396988.6
0,113,315.2666666667301,1400990.5333333334
0,114,314.8000000001048,1404991.966666667
0,116,314.433333333227,1412995.4
0,117,315.8000000000811,1416998.6666666665
0,126,313.96666666660167,1453013.8666666667
0,129,314.6999999999025,1465020.2999999998
0,130,314.8000000001048,1469022.2666666668
0,132,315.2666666667301,1477026.5333333334
0,133,315.59999999990396,1481028.7666666666
0,135,314.3999999999778,1489031.3666666667
0,136,316.133333333255,1493034.9666666666
0,137,314.9000000000797,1497035.6333333333
0,138,314.9000000000797,1501037.5333333334
0,139,315.8666666665795,1505040.4000000001
0,140,315.900000000056,1509042.3333333333
0,142,315.33333333322844,1517045.5333333332
0,143,315.59999999990396,1521047.7000000002
0,144,316.0000000000309,1525050.0
0,145,316.16666666673154,1529052.0666666667
0,146,315.8333333333303,1533053.6333333335
0,148,315.7333333333554,1541057.3
0,150,315.2666666667301,1549060.6333333335
0,151,315.59999999990396,1553062.8666666667
0,152,315.7333333333554,1557064.9000000001
0,155,315.03333333330374,1569069.8666666667
0,157,315.23333333325354,1577071.3666666665
0,159,315.20000000000437,1585072.5999999999
0,160,315.70000000010623,1589075.0
0,163,315.2666666667301,1601080.2666666668
0,164,315.6333333333805,1605082.5333333334
0,165,315.8333333333303,1609084.5999999999
0,166,316.0000000000309,1613086.6666666667
0,168,315.5666666666548,1621090.0333333334
0,170,315.49999999992906,1629093.7666666666
0,171,315.70000000010623,1633095.8333333335
0,172,315.8666666665795,1637097.9
0,173,316.1000000000058,1641100.0333333334
0,174,316.1000000000058,1645101.9333333333
0,246,314.8666666666031,1965814.5666666667
0,247,315.33333333322844,1969816.9333333333
0,248,315.6333333333805,1973819.1333333333
0,249,315.7333333333554,1977821.1
0,250,315.8000000000811,1981823.066666667
0,251,315.8000000000811,1985824.9666666668
0,252,315.9666666665544,1989827.0333333332
0,253,316.0333333332801,1993829.0
0,254,316.06666666675665,1997830.9333333333
0,255,316.16666666673154,2001832.9000000001
0,257,315.6666666666297,2009836.2
0,258,315.9666666665544,2013838.4
0,259,316.1999999999807,2017840.5333333332
0,260,317.2666666666828,2021843.5
0,262,315.8000000000811,2029845.8
0,264,315.59999999990396,2037849.4
0,266,315.70000000010623,2045853.3000000003
0,267,316.06666666675665,2049855.5333333334
0,269,315.86666666680685,2057859.1333333333
0,271,315.900000000056,2065862.966666667
0,274,315.7666666666046,2077868.5
0,275,316.16666666650417,2081870.7999999996
0,277,316.03333333350747,2089874.466666667
0,279,316.1000000000058,2097878.3000000003
0,282,315.7333333333554,2109883.6333333333
0,283,316.23333333345727,2113886.0333333337
0,285,315.50000000015643,2141570.8333333335
0,286,316.06666666675665,2143573.2333333334
0,287,316.6000000001077,2145575.6
0,288,317.0666666665056,2147577.8666666667
0,289,317.59999999985666,2149580.233333333
0,290,318.0333333334602,2151582.5
0,293,317.2666666664554,2157587.1999999993
0,294,317.66666666680976,2159589.4
0,296,317.5333333333583,2163592.9333333336
0,297,318.06666666670935,2165595.2666666666
0,298,318.66666666655874,2167597.6999999997
0,301,317.8333333335104,2173602.3333333335
0,302,318.2999999999083,2175604.6333333333
0,303,318.766666666761,2177606.9000000004
0,305,318.6000000000604,2181610.4
0,309,317.5666666666075,2189616.6333333333
0,312,317.23333333320625,2195621.7666666666
0,313,317.70000000005894,2197624.066666667
0,314,318.3333333331575,2199626.533333333
0,316,318.26666666665915,2203630.0999999996
0,319,317.9333333332579,2209635.233333333
0,322,317.90000000000873,2215640.6666666665
0,324,317.70000000005894,2219644.1
0,327,317.59999999985666,2225649.4666666663
0,328,318.23333333341,2227651.9333333336
0,331,318.000000000211,2233657.166666667
0,333,318.0333333334602,2237660.8333333335
0,334,318.5333333331073,2239663.166666666
0,336,319.13333333341143,2243667.4000000004
0,338,318.66666666655874,2247670.6
0,339,319.1999999999098,2249672.933333333
0,342,317.0000000000073,2274423.5
0,343,317.70000000005894,2275425.966666667
0,344,318.3666666668614,2276428.4333333336
0,345,319.23333333315895,2277431.0666666664
0,348,319.46666666681267,2280436.6666666665
0,349,320.29999999986103,2281439.2999999993
0,352,320.4333333333125,2284444.7666666666
0,355,320.0333333334129,2287449.7333333334
0,356,320.90000000016516,2288452.4
0,357,320.93333333341434,2289454.2
0,360,320.5666666667639,2292459.1999999997
0,362,320.90000000016516,2294463.1000000006
0,363,321.8000000001666,2295465.8000000003
0,366,321.6000000002168,2298470.966666667
0,367,322.36666666676683,2299473.5
0,370,322.4333333332652,2302478.933333333
0,372,322.53333333346745,2304482.5999999996
0,374,322.66666666646415,2306486.3
0,376,322.93333333336705,2308490.166666667
0,379,322.633333333215,2311495.1999999997
0,381,323.2333333335191,2313499.3666666667
0,383,323.2333333335191,2315502.966666667
0,385,323.49999999996726,2317506.8
0,386,324.3999999999687,2318509.466666667
